Objet,Détail,Date,Dépense,Type
JUGE Puget sur Argens,essence pour aller juger le trec de ,01/15/23,30,Transport
JUGE Puget sur Argens,Biére pour tout le monde,01/15/23,15,Biére
JUGE Formation juge,Péage,05/02/2023,"11,5",Transport
JUGE Formation juge,essence,02/05/23,50,Transport
JUGE Poet,essence,02/25/23,46,Transport
JUGE Poet,resto,02/25/23,22,Alimentaire
JUGE Poet,essence,02/25/23,"19,5",Transport
materiel ,gilet de cross,03/15/23,90,Matériel 
aups ,photo mule,03/17/23,"18,5",Photo
aups ,Engagement,03/17/23,45,Engagement
aups ,Transport,03/17/23,30,Transport
aups ,Buvette,03/17/23,20,Alimentaire
Ollières,Egagement,03/24/23,45,Egagement
Ollières,Transport,03/24/23,30,Transport
Ollières,buvette,03/24/23,10,Alimentaire
materiel ,Boussole flask,03/24/23,21,Matériel 
Montauroux ,Photo,05/21/23,15,Photo
Montauroux ,Engagement,05/21/23,45,Engagement
Montauroux ,Transport,05/22/23,50,Transport
Ride and Fun,Engagement CSO,05/26/23,65,Engagement
Ride and Fun,Manger,05/26/23,66,Alimentaire
Ride and Fun,biére pour tout le monde,05/26/23,30,Biére
Ride and Fun,essence,05/26/23,60,Transport
Ride and Fun,photo,05/26/23,50,Photo
Ride and Fun,parc ,05/26/23,45,Intendance animal
Ride and Fun,engagement TREC,05/26/23,65,Engagement
