TREC,dispotitif,note
AUPS,,82
OLLIERE,1,10
OLLIERE,2,0
OLLIERE,3,0
OLLIERE,4,10
OLLIERE,5,10
OLLIERE,6,7
OLLIERE,7,5
OLLIERE,8,9
OLLIERE,9,10
OLLIERE,10,0
OLLIERE,11,5
OLLIERE,12,9
OLLIERE,13,10
OLLIERE,14,5
MONTAUROUX,1,9
MONTAUROUX,2,0
MONTAUROUX,3,5
MONTAUROUX,4,5
MONTAUROUX,5,10
MONTAUROUX,6,10
MONTAUROUX,7,0
MONTAUROUX,8,10
MONTAUROUX,9,10
MONTAUROUX,10,0
MONTAUROUX,11,10
MONTAUROUX,12,10
MONTAUROUX,13,3
MONTAUROUX,14,10
RIDE&FUN,1,10
RIDE&FUN,2,0
RIDE&FUN,3,10
RIDE&FUN,4,10
RIDE&FUN,5,0
RIDE&FUN,6,10
RIDE&FUN,7,7
RIDE&FUN,8,10
RIDE&FUN,9,8
RIDE&FUN,10,10
RIDE&FUN,11,10
RIDE&FUN,12,10
RIDE&FUN,13,7
RIDE&FUN,14,1
