TREC Club Elite Ride and Fun 2023,,,,,,,,,,,
P.O.R.,,(Parcour,,d'Orienta,et de,,Régularit,(noté,sur,300),
tronçon,vitesse,disstance,idéal,départtion,arrivée,réel,deltaé),,pénal,points,
T1,7.00,1.60,00:13,14:35,14:57,00:22,00:08,8,ités0,8,
T2,8.50,8.10,00:57,15:04,16:28,01:24,00:26,26,0,26,
T3,9.00,2.20,00:30,16:33,17:28,00:55,00:25,25,30,,
T4,7.50,7.60,01:00,17:33,18:45,01:12,00:11,11,0,11,
T5,,,,00:00,00:00,,,,0,,
T6,,,,00:00,00:00,,,,0,0,
T7,,,,00:00,00:00,,,,0,0,
T8,,,,00:00,00:00,,,,0,0,
N°,note,N°,note,N°,note,N°,note,,,,,
1,10,5,0,9,7,13,10,,,,,
2,8,6,10,10,0,14,0,,,,,
3,7,7,5,11,10,,,,,,
4,10,8,10,12,9,,,,,,
"points
P.T.V.",96,"temps de
base",0:08:50,"temps
réalisé","écart et
0:08:22 |pénalités de 00:00:00",,,,,,
,,,Maîtrise,des,"temns
Allures (notée sur 60)",,,,,,
Temps ,galop,20.28,Points,26,Faute,,0,total,des,points,allures 
Temps pas,,60.00,Points,10,Faute,,,,,36
,,,CLASSEMENT,,(noté,sur,500),,,,
total,des,points,,332,,place,,,,,2
